2013,,2014,,2015,,2016,,2017,,2018,
M,C,M,C,F,N,F,N,M,C,M,N
M,C,M,S,M,C,M,C,M,N,M,C
M,C,M,C,M,C,F,C,F,N,M,C
M,C,M,C,M,C,M,N,M,C,M,C
M,C,M,C,M,C,F,C,M,C,M,C
F,C,M,C,M,C,F,N,F,C,M,C
M,C,M,C,M,C,F,C,M,C,M,N
M,C,M,C,M,O,F,C,M,C,M,C
M,O,M,C,F,O,M,C,M,C,M,C
M,C,M,C,M,C,M,N,M,C,M,C
F,C,F,C,M,C,M,N,M,C,M,C
M,C,M,C,M,C,M,C,M,C,M,C
F,C,M,C,M,C,M,O,M,C,M,C
M,C,M,C,F,C,F,N,F,C,M,C
M,C,M,C,M,C,M,C,F,O,M,C
M,C,M,O,F,C,F,C,M,C,F,C
M,O,M,C,M,C,M,C,F,C,M,C
M,S,M,C,F,S,M,O,M,C,M,C
M,C,M,N,M,C,F,C,M,C,M,C
M,C,M,C,F,C,F,O,M,C,M,C
M,C,F,C,M,U,M,C,M,C,M,C
F,C,F,C,M,C,M,C,M,C,M,C
M,O,M,C,M,C,M,C,F,C,M,C
M,S,M,C,M,C,M,S,F,C,M,C
M,C,M,O,M,O,M,C,M,C,M,C
M,C,F,C,M,C,M,C,M,T,M,C
M,C,M,B,M,C,M,C,M,C,F,C
M,C,F,T,M,C,M,C,F,N,F,C
M,C,M,C,F,O,M,C,F,T,F,C
M,C,M,C,F,C,M,C,F,C,M,C
M,C,F,C,M,C,M,O,F,C,M,C
M,C,M,C,M,C,M,C,M,C,M,C
M,S,F,C,F,C,M,C,F,N,F,C
F,O,M,C,F,C,M,C,M,O,F,O
F,C,M,C,M,S,F,C,F,C,F,C
M,C,M,C,F,S,M,C,M,S,M,O
M,C,M,C,M,C,F,C,M,C,F,C
M,B,F,C,M,S,M,C,M,C,F,C
M,C,M,C,M,O,M,C,F,O,M,C
M,C,M,S,M,C,M,C,F,O,M,C
F,O,F,S,M,C,M,C,F,C,F,C
F,B,M,C,F,C,F,C,F,C,F,T
M,C,F,O,M,S,M,C,F,O,F,C
M,C,M,C,M,U,M,O,M,C,F,O
M,C,M,C,M,C,M,S,F,N,M,T
M,O,F,C,M,O,F,O,M,T,M,C
F,S,F,C,M,C,M,S,M,C,M,C
F,O,M,O,M,S,M,C,M,C,M,C
M,C,M,O,F,C,F,C,M,C,M,C
M,C,M,S,M,C,M,C,M,O,F,C
F,C,M,C,M,C,M,C,M,T,F,C
M,S,M,C,F,C,F,C,M,C,M,B
M,C,M,C,M,C,M,C,M,C,M,T
M,B,M,C,F,C,M,C,M,T,F,C
M,C,M,B,M,B,M,C,M,O,M,C
F,T,M,C,M,C,M,C,M,C,F,S
M,T,,,M,S,M,S,M,C,M,C
M,N,,,M,B,M,S,M,C,M,C
M,S,,,M,C,M,C,M,O,F,C
F,S,,,M,S,M,O,F,C,M,C
M,C,,,M,C,M,C,F,C,M,S
M,C,,,M,C,M,C,F,C,M,C
F,C,,,M,O,M,S,M,C,F,C
,,,,M,S,M,C,M,O,M,C
,,,,M,C,M,S,M,S,M,T
,,,,M,S,F,B,M,C,F,C
,,,,M,C,M,C,M,C,F,C
,,,,M,O,M,C,F,C,F,S
,,,,M,C,M,C,M,C,F,T
,,,,F,T,M,C,M,C,M,C
,,,,M,C,F,S,M,C,M,C
,,,,M,O,M,C,M,C,F,C
,,,,M,B,M,O,M,C,M,C
,,,,M,B,M,S,M,C,F,C
,,,,,,M,O,M,B,M,O
,,,,,,M,C,M,B,M,C
,,,,,,M,C,M,C,M,C
,,,,,,M,C,M,C,F,C
,,,,,,F,N,F,O,M,C
,,,,,,,,F,S,M,C
,,,,,,,,M,C,F,C
,,,,,,,,M,O,M,S
,,,,,,,,M,O,M,C
,,,,,,,,F,C,M,C
,,,,,,,,M,T,M,C
,,,,,,,,M,B,M,O
,,,,,,,,M,C,F,C
,,,,,,,,M,B,F,S
,,,,,,,,M,B,M,O
,,,,,,,,M,C,M,C
,,,,,,,,M,C,F,C
,,,,,,,,,,M,S
,,,,,,,,,,M,S
,,,,,,,,,,M,C
,,,,,,,,,,F,S
,,,,,,,,,,M,C
,,,,,,,,,,M,C
,,,,,,,,,,M,C
,,,,,,,,,,M,C
,,,,,,,,,,M,C
,,,,,,,,,,M,C
,,,,,,,,,,M,C
,,,,,,,,,,M,C
,,,,,,,,,,M,C
,,,,,,,,,,M,C
,,,,,,,,,,M,N
,,,,,,,,,,F,S
,,,,,,,,,,M,C
,,,,,,,,,,M,C
,,,,,,,,,,F,S
,,,,,,,,,,M,O
,,,,,,,,,,M,C
,,,,,,,,,,M,O
,,,,,,,,,,M,N
,,,,,,,,,,M,C
,,,,,,,,,,M,C
,,,,,,,,,,F,T
,,,,,,,,,,F,T
,,,,,,,,,,M,C
,,,,,,,,,,M,B
,,,,,,,,,,M,T
,,,,,,,,,,M,S
,,,,,,,,,,M,B
,,,,,,,,,,M,S
,,,,,,,,,,F,C
,,,,,,,,,,M,C
